Consequent	Antecedent 	Support %	Confidence %
ItemID_142	student_group_F1 and hour_0	1.949033919064164	3.526771401090093
ItemID_169	hour_20 and student_group_F3	2.768265553528133	3.521444695259594
ItemID_138	hour_23 and student_group_F3	3.704976629089909	3.508180131556755
ItemID_107	hour_17 and student_group_F1	0.89234383982803	3.50140056022409
ItemID_142	hour_1 and student_group_F3	1.400379933511635	3.480589022757698
ItemID_146	hour_21 and student_group_F2	2.165246081935661	3.463203463203463
ItemID_151	hour_1 and student_group_F4	1.010448171569975	3.463203463203463
ItemID_129	hour_1 and student_group_F1	0.904216762066638	3.455425017277125
ItemID_169	hour_17 and student_group_F1	0.89234383982803	3.431372549019608
ItemID_76	hour_17 and student_group_F1	0.89234383982803	3.431372549019608
ItemID_169	hour_0 and student_group_F4	2.487689654310496	3.391107761868877
ItemID_130	hour_1 and student_group_F1	0.904216762066638	3.386316516931583
ItemID_164	student_group_F0 and hour_21	1.294773414652436	3.378378378378379
ItemID_134	hour_22 and student_group_F4	1.930287199740046	3.366785367432827
ItemID_142	student_group_F0 and hour_0	0.727372709775789	3.350515463917526
ItemID_107	hour_21 and student_group_F3	2.313970055240333	3.348636240885768
ItemID_26	hour_1 and student_group_F3	1.400379933511635	3.346720214190094
ItemID_164	student_group_F0 and hour_20	2.110880595895718	3.345174659561871
ItemID_129	hour_1 and student_group_F4	1.010448171569975	3.339517625231911
ItemID_128	hour_20 and student_group_F3	2.768265553528133	3.318284424379232
ItemID_169	student_group_F1 and hour_23	2.356462619041668	3.314770617873243
ItemID_76	hour_17 and student_group_F3	1.595970705126603	3.249804228660924
ItemID_22	hour_1 and student_group_F1	0.904216762066638	3.248099516240498
ItemID_130	hour_0 and student_group_F2	3.028844952133377	3.239116979574995
ItemID_130	hour_21 and student_group_F4	1.609093408653486	3.223300970873787
ItemID_1	hour_0 and student_group_F2	3.028844952133377	3.218485661233753
ItemID_1	student_group_F1 and hour_0	1.949033919064164	3.206155819172812
